Altium Designer Pick and Place Locations
C:\altium\uz_per_ktr_torque_box\Project Outputs for uz_per_ktr_torque_box\Rev01\Pick Place\Pick Place for uz_per_ktr_torque_box(Default).csv

========================================================================================================================
File Design Information:

Date:       20.06.25
Time:       18:27
Revision:   3aabff3902db80f6d87575d4806f2e8f77de6aef
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"LG2","1271.1000","19.5000","19.5000","14.1000","9.8500","19.5000","14.1000","270","1271.1000","TopLayer"
"LG1","1271.1000","11.5000","11.5000","14.1000","9.8500","11.5000","14.1000","270","1271.1000","TopLayer"
"S2","2-1825027-0","37.0000","37.0000","4.5000","6.5450","34.7500","5.3000","0","2-1825027-0","TopLayer"
"S1","2-1825027-0","27.0000","27.0000","4.5000","6.5450","24.7500","5.3000","0","2-1825027-0","TopLayer"
"J2","DSUB15-3","36.2900","38.8300","35.4000","39.7200","36.2900","35.4000","90","DS1038-15MBNSIA74-0CC","TopLayer"
"D2","FP-LS_T676-Q1R2-1-Z-MFG","19.5000","19.5000","9.8500","9.8500","21.0000","9.8500","180","LS T676-Q1R2-1","TopLayer"
"D1","FP-LS_T676-Q1R2-1-Z-MFG","11.5000","11.5000","9.8500","9.8500","13.0000","9.8500","180","LG T67K-H2K1-24-Z","TopLayer"
"J1","PCB_-_MISC_-_DSUB15","8.7500","8.7500","40.0000","40.0000","10.0200","30.3050","270","DS1037-15FNAKT74-0CC","TopLayer"
"R8","R_0603_TE","19.6000","19.6000","25.3000","25.3000","20.3300","25.3000","270","10k","TopLayer"
"R7","R_0603_TE","25.3000","25.3000","25.4000","25.4000","26.0300","25.4000","270","10k","TopLayer"
"R4","R_1206_TE","24.0000","24.0000","13.4000","13.4000","24.0000","11.9000","180","4k7","TopLayer"
"R3","R_1206_TE","15.5000","15.5000","13.4000","13.4000","15.5000","11.9000","180","1k6","TopLayer"
"R1","RES_1206_3216","5.0000","5.0000","63.7000","63.7000","3.6000","63.7000","0","0R","TopLayer"
"R2","RES_1206_3216","45.0000","45.0000","59.1000","59.1000","46.4000","59.1000","180","0R","TopLayer"
"T2","SOT95P280X145-3N","18.0000","18.0000","22.6000","22.6000","16.7000","23.5500","0","MMBT3904","TopLayer"
"T1","SOT95P280X145-3N","23.9000","23.9000","22.7000","22.7000","22.6000","23.6500","0","MMBT3904","TopLayer"
